gene,group
LOC107504581,IFN+
ACTN2,IFN+
LOC118604375,IFN+
MAFF,IFN+
MARCKSL1,IFN+
HIST1H2AK_LOC107504229_P,IFN+
VEGFA,IFN+
LOC118600320,IFN+
SFPQ,IFN+
ZFP36,IFN+
HIST1H2AK_LOC107504170_P,IFN+
